total_runs,balls_faced,fours,sixes,innings_played,strike_rate,batting_average,balls_bowled,runs_conceded,wickets,matches_bowled,overs_bowled,economy_rate,bowling_average,player,batting_score,bowling_score,performance_score,auction_value_lakhs,predicted_value,value_ratio
154.0,156.0,15.0,3.0,31.0,98.71794871794873,4.967741935483871,1730.0,2026.0,85.0,76.0,288.3333333333333,7.026589595375723,23.83529411764706,B Kumar,224.35897435897436,1785.9468208092485,2010.3057951682229,2974.524452588481,2914.1337884356662,0.6898467747588808
4.0,9.0,0.0,0.0,2.0,44.44444444444444,2.0,45.0,72.0,1.0,2.0,7.5,9.6,72.0,B Laughlin,26.22222222222222,100.8,127.02222222222221,20.0,131.0951867838994,0.9689312425452266
124.0,102.0,8.0,8.0,19.0,121.56862745098039,6.526315789473684,916.0,1126.0,25.0,38.0,152.66666666666666,7.3755458515283845,45.04,B Lee,208.7843137254902,585.2489082969432,794.0332220224334,927.3092366154378,1463.256042440849,0.5426481757067692
35.0,38.0,3.0,0.0,4.0,92.10526315789474,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B Sumanth,84.05263157894737,100.0,184.05263157894737,455.22529273173865,434.1070112111766,0.4239798640096433
6.0,7.0,0.0,1.0,2.0,85.71428571428571,3.0,303.0,408.0,12.0,15.0,50.5,8.07920792079208,34.0,BA Bhatt,50.857142857142854,323.84158415841586,374.6987270155587,861.0729803883513,746.9322464239792,0.5016502217027987
3.0,6.0,0.0,0.0,3.0,50.0,1.0,248.0,306.0,8.0,10.0,41.333333333333336,7.403225806451612,38.25,BAW Mendis,28.0,245.19354838709677,273.19354838709677,393.9134731873881,393.0326305638102,0.6950912650565355
2435.0,1954.0,248.0,106.0,92.0,124.61617195496417,26.467391304347824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BB McCullum,2957.3080859774823,100.0,3057.3080859774823,4807.221867616099,5025.060722828632,0.6084121674566568
125.0,116.0,13.0,2.0,8.0,107.75862068965519,15.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BB Samantray,195.8793103448276,100.0,295.87931034482756,523.5527665281462,433.1848810062838,0.6830324032951084
4.0,4.0,0.0,0.0,3.0,100.0,1.3333333333333333,312.0,420.0,14.0,14.0,52.0,8.076923076923077,30.0,BB Sran,54.0,363.8461538461538,417.8461538461538,484.53270957333086,497.29321704497846,0.8402410077681817
73.0,43.0,4.0,7.0,5.0,169.7674418604651,14.6,92.0,111.0,6.0,5.0,15.333333333333334,7.239130434782608,18.5,BCJ Cutting,175.88372093023256,205.52173913043478,381.40546006066734,651.788983208965,585.4733107428193,0.651448072973231
1.0,3.0,0.0,0.0,2.0,33.33333333333333,0.5,157.0,239.0,9.0,7.0,26.166666666666668,9.13375796178344,26.555555555555557,BE Hendricks,17.666666666666664,261.73248407643314,279.3991507430998,758.2062625442405,612.4919390921408,0.4561678822373337
18.0,11.0,2.0,1.0,1.0,163.63636363636365,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BJ Haddin,103.81818181818183,100.0,203.8181818181818,297.8283188743608,285.08793444106686,0.7149309290053976
1400.0,1153.0,122.0,43.0,63.0,121.42237640936686,22.22222222222222,238.0,310.0,17.0,20.0,39.666666666666664,7.815126050420169,18.235294117647058,BJ Hodge,1668.7111882046834,424.3697478991597,2093.080936103843,3484.595292996669,3240.0209391360263,0.6460084596434669
